text,language,source_brand,score_samsung,score_duolingo,score_nike,own_score,max_cross_score,own_higher_than_cross
Meet Galaxy AI — the phone that learns how you live. Trade in and upgrade today.,en,samsung,66.71,0.1,0.1,66.71,0.1,True
"Got five minutes? That's all it takes. Keep the streak, keep the language.",en,duolingo,18.16,56.6,30.62,56.6,30.62,True
Just do it — today's run sets tomorrow's finish line.,en,nike,22.14,28.3,36.53,36.53,28.3,True
"The Fold unfolds more than the screen. Productivity, reimagined.",en,samsung,33.06,6.39,0.1,33.06,6.39,True
"Hoot hoot! Fifteen minutes a day — no boring textbooks, just wins.",en,duolingo,0.1,24.64,13.82,24.64,13.82,True
Galaxy AI ile tanış: senin hayatını öğrenen telefon. Takas fırsatı bugünle sınırlı.,tr,samsung,65.64,0.1,0.1,65.64,0.1,True
"Beş dakikan mı var? Bu kadarı yeter. Serini sürdür, kaçırma.",tr,duolingo,24.61,40.12,28.66,40.12,28.66,True
"Sadece yap. Bugünkü koşu, yarınki bitiş çizgisi.",tr,nike,18.84,32.87,46.88,46.88,32.87,True
"Katlanır ekran, katlanmayan beklentiler. Galaxy Z serisi gerçekten farklı.",tr,samsung,39.54,0.1,0.1,39.54,0.1,True
"Her gün biraz Türkçe? Bir baykuş sana hatırlatır. 15 dakika, bir seri.",tr,duolingo,15.1,38.08,30.58,38.08,30.58,True
